Season_End_Year,Premier_League,Champions_League,Europa_League,FA_Cup,EFL_Cup,FA_Community_Shield,European_Super_Cup
1996,Manchester Utd,N/A,N/A,Manchester Utd,Aston Villa,Manchester Utd,N/A
1997,Manchester Utd,N/A,N/A,Chelsea,Leicesteer City,Manchester Utd,N/A
1998,Arsenal,N/A,Chelsea,Arsenal,Leicesteer City,Arsenal,Chelsea
1999,Manchester Utd,Manchester Utd,N/A,Manchester Utd,Chelsea,Arsenal,N/A
2000,Manchester Utd,N/A,N/A,Chelsea,Tottenham,Chelsea,N/A
2001,Manchester Utd,N/A,Liverpool,Liverpool,Leicesteer City,Liverpool,Liverpool
2002,Arsenal,N/A,N/A,Arsenal,Liverpool,Arsenal,N/A
2003,Manchester Utd,N/A,N/A,Arsenal,Blackburn,Manchester Utd,N/A
2004,Arsenal,Liverpool,N/A,Manchester Utd,Liverpool,Arsenal,N/A
2005,Chelsea,N/A,N/A,Arsenal,Middlesbrough,Chelsea,N/A
2006,Chelsea,N/A,N/A,Liverpool,Chelsea,Liverpool,N/A
2007,Manchester Utd,N/A,N/A,Chelsea,Tottenham,Manchester Utd,N/A
2008,Manchester Utd,Manchester Utd,N/A,Portsmouth,Manchester Utd,Manchester Utd,N/A
2009,Manchester Utd,N/A,N/A,Chelsea,Manchester Utd,Chelsea,N/A
2010,Chelsea,N/A,N/A,Chelsea,Birmingham,Manchester Utd,N/A
2011,Manchester Utd,N/A,N/A,Manchester City,Liverpool,Manchester Utd,N/A
2012,Manchester City,Chelsea,N/A,Chelsea,Swansea City,Manchester City,N/A
2013,Manchester Utd,N/A,Chelsea,Wigan Athletic,Manchester City,Manchester Utd,N/A
2014,Manchester City,N/A,N/A,Arsenal,Chelsea,Arsenal,N/A
2015,Chelsea,N/A,N/A,Arsenal,Manchester City,Arsenal,N/A
2016,Leicester City,N/A,N/A,Manchester Utd,Manchester Utd,Manchester Utd,N/A
2017,Chelsea,N/A,N/A,Arsenal,Manchester City,Arsenal,N/A
2018,Manchester City,N/A,N/A,Chelsea,Manchester City,Manchester City,N/A
2019,Manchester City,Liverpool,Chelsea,Manchester City,Manchester City,Manchester City,Liverpool
2020,Liverpool,N/A,N/A,Arsenal,Manchester City,Arsenal,N/A
2021,Manchester City,Chelsea,N/A,Leicester City,Liverpool,Leicester City,Chelsea
2022,Manchester City,N/A,N/A,Liverpool,Manchester Utd,Liverpool,N/A